Gen_Index,Name,Zone,Category,Capacity,Fuel_Cost,Can_Spin
289,Essex 111,PSEG,CT,53.0,47.903907160463,1
290,Essex 113,PSEG,CT,53.0,47.903907160463,1
291,Essex 102,PSEG,CT,48.0,47.903907160463,1
292,Hudson 2,PSEG,ST,620.0,21.70291473,1
297,Kearney 133,PSEG,CT,46.9,51.012832177826,1
298,Kearney 132,PSEG,CT,46.9,51.012832177826,1
299,Kearney 134,PSEG,CT,46.9,51.012832177826,1
301,Kearney 142,PSEG,CT,46.9,51.012832177826,1
303,Kearney 124,PSEG,CT,44.0,51.012832177826,1
305,Kearney 131,PSEG,CT,46.9,51.012832177826,1
306,Kearney 09,PSEG,CT,24.0,47.903907160463,1
308,Kearney 122,PSEG,CT,44.0,51.012832177826,1
309,Kearney 121,PSEG,CT,44.0,51.012832177826,1
310,Kearney 141,PSEG,CT,46.9,51.012832177826,1
313,Kearney 123,PSEG,CT,44.0,51.012832177826,1
316,Linden 1,PSEG,CC,642.9,35.073581572990506,1
317,Linden 2,PSEG,CC,643.1,35.073581572990506,1
320,Linden 8,PSEG,CT,98.0,35.073581572990506,1
325,Linden 7,PSEG,CT,98.0,35.073581572990506,1
326,Linden 6,PSEG,CT,86.0,35.073581572990506,1
327,Linden 5,PSEG,CT,86.0,35.073581572990506,1
331,Mercer 1,PSEG,ST,325.0,21.70291473,1
332,Mercer 2,PSEG,ST,325.0,21.70291473,1
333,Mercer 3,PSEG,CT,140.0,47.903907160463,1
334,National Park,AE,CT,24.0,47.903907160463,1
335,Salem 1,AE,NU,1174.0,5.22962141,1
336,Salem 3,AE,CT,46.0,49.688724864974,1
337,Salem 2,AE,NU,1155.8,5.22962141,1
338,Sewaren 1,PSEG,ST,107.0,62.859488118,1
339,Sewaren 2,PSEG,ST,120.0,62.859488118,1
340,Sewaren 6,PSEG,CT,140.0,47.903907160463,1
341,Sewaren 3,PSEG,ST,109.0,62.859488118,1
342,Sewaren 4,PSEG,ST,127.0,62.859488118,1
343,Vineland CT 11,AE,CT,62.9,48.730126053596,1
349,Gaston 4,DOM,HD,57.0,0.0,1
350,Gaston 2,DOM,HD,56.0,0.0,1
351,Gaston 1,DOM,HD,56.0,0.0,1
352,Gaston 3,DOM,HD,56.0,0.0,1
355,Roanoke Rapids 1,DOM,HD,26.0,0.0,1
356,Roanoke Rapids 3,DOM,HD,25.0,0.0,1
357,Roanoke Rapids 4,DOM,HD,23.0,0.0,1
358,Roanoke Rapids 2,DOM,HD,25.0,0.0,1
359,Buxton 3,DOM,DS,3.0,183.24020442,1
360,Buxton 1,DOM,DS,3.0,183.24020442,1
361,Buxton 2,DOM,DS,3.0,183.24020442,1
362,Buxton 5,DOM,DS,3.0,183.24020442,1
363,Buxton 4,DOM,DS,3.0,183.24020442,1
364,Cardinal 1,AEP,ST,600.0,21.01104033,1
365,Cardinal 3,AEP,ST,630.0,21.01104033,1
366,Cardinal 2,AEP,ST,600.0,21.01104033,1
368,Beckjord 5,DEOK,ST,238.0,21.70291473,1
369,Beckjord GT 4,DEOK,CT,61.0,47.903907160463,1
370,Beckjord GT 1,DEOK,CT,61.0,47.903907160463,1
372,Beckjord 6,DEOK,ST,420.0,21.70291473,1
373,Beckjord 4,DEOK,ST,150.0,21.70291473,1
374,Beckjord GT 3,DEOK,CT,61.0,47.903907160463,1
376,Beckjord GT 2,DEOK,CT,61.0,47.903907160463,1
377,Dicks Creek 5,DAY,CT,21.0,47.903907160463,1
378,Dicks Creek 4,DAY,CT,21.0,47.903907160463,1
379,Dicks Creek 3,DAY,CT,20.0,47.903907160463,1
380,Dicks Creek 1,DAY,CT,110.0,47.903907160463,1
381,Miami Fort 6,MISO,ST,163.0,21.70291473,1
382,Miami Fort GT 4,MISO,CT,20.0,48.953028089977,1
383,Miami Fort GT 3,MISO,CT,20.0,48.953028089977,1
384,Miami Fort 7,MISO,ST,510.0,21.639202431,1
385,Miami Fort GT 5,MISO,CT,20.0,48.953028089977,1
386,Miami Fort 8,MISO,ST,510.0,21.639202431,1
387,Miami Fort GT 6,MISO,CT,20.0,48.953028089977,1
388,Ashtabula 5,ATSI,ST,268.0,21.70291473,1
389,Avon Lake 7,ATSI,ST,94.0,21.70291473,1
390,Avon Lake 10,ATSI,CT,29.0,51.001937254995006,1
391,Avon Lake 9,ATSI,ST,640.0,22.544902485,1
392,Eastlake 2,ATSI,ST,145.0,21.70291473,1
393,Eastlake 6 CT,ATSI,CT,31.0,95.927596142883,1
394,Eastlake 3,ATSI,ST,145.0,21.70291473,1
397,Eastlake 1,ATSI,ST,145.0,21.70291473,1
398,Lake Shore D2,ATSI,DS,2.0,133.02623425,1
399,Lake Shore 18,ATSI,ST,268.0,21.70291473,1
400,Lake Shore D1,ATSI,DS,2.0,133.02623425,1
402,Conesville 6,AEP,ST,405.0,23.018162874,1
403,Conesville 4,AEP,ST,780.0,23.018162874,1
406,Conesville 5,AEP,ST,405.0,23.018162874,1
407,Picway 5,AEP,ST,96.1,21.70291473,1
408,Tait GT 2,DAY,CT,102.0,51.06566841807201,1
409,Tait GT 3,DAY,CT,102.0,51.06566841807201,1
410,Tait GT 1,DAY,CT,100.0,51.06566841807201,1
411,Tait D 4,DAY,DS,2.5,139.73807848,1
412,Tait D 1,DAY,DS,2.5,139.73807848,1
413,Tait D 3,DAY,DS,2.5,139.73807848,1
414,Tait D 2,DAY,DS,2.5,139.73807848,1
415,Hutchings CT 7,DAY,CT,25.0,47.903907160463,1
416,Hutchings 3,DAY,ST,63.0,21.70291473,1
417,Hutchings 6,DAY,ST,63.0,21.70291473,1
418,Hutchings 1,DAY,ST,58.0,21.70291473,1
419,Hutchings 2,DAY,ST,55.0,21.70291473,1
420,Hutchings 5,DAY,ST,63.0,21.70291473,1
422,Stuart 1,SERC,ST,585.0,21.70291473,1
423,Stuart 4,SERC,ST,585.0,21.85683087,1
425,Stuart 2,SERC,ST,585.0,21.85683087,1
426,Stuart D 2,SERC,DS,2.5,135.3041911,1
428,Stuart D 1,SERC,DS,2.5,135.3041911,1
430,Stuart 3,SERC,ST,585.0,21.85683087,1
432,Stuart D 4,SERC,DS,2.5,135.3041911,1
433,Stuart D 3,SERC,DS,2.5,135.3041911,1
434,Monument D 3,DAY,DS,2.4,142.25714281999998,1
435,Monument D 5,DAY,DS,2.4,142.25714281999998,1
436,Monument D 2,DAY,DS,2.4,142.25714281999998,1
437,Monument D 1,DAY,DS,2.4,142.25714281999998,1
438,Monument D 4,DAY,DS,2.4,142.25714281999998,1
439,Sidney D 3,DAY,DS,2.4,138.66666671,1
440,Sidney D 2,DAY,DS,2.4,138.66666671,1
441,Sidney D 4,DAY,DS,2.4,138.66666671,1
442,Sidney D 1,DAY,DS,2.4,138.66666671,1
443,Sidney D 5,DAY,DS,2.4,138.66666671,1
444,Yankee GT 4,DAY,CT,18.0,65.794279067847,1
445,Yankee GT 7,DAY,CT,18.0,65.794279067847,1
446,Yankee GT 5,DAY,CT,18.0,65.794279067847,1
447,Yankee GT 2,DAY,CT,22.0,65.794279067847,1
448,Yankee GT 1,DAY,CT,22.0,65.794279067847,1
449,Yankee GT 6,DAY,CT,18.0,65.794279067847,1
450,Yankee GT 3,DAY,CT,22.0,65.794279067847,1
455,Niles CT A,ATSI,CT,30.0,47.903907160463,1
458,Burger B2,AEP,DS,2.1,133.02623425,1
460,Burger B1,AEP,DS,3.0,133.02623425,1
463,Burger A,AEP,DS,2.1,133.02623425,1
465,Sammis B2,AEP,DS,3.0,145.3076859,1
466,Sammis B3,AEP,DS,2.6,145.3076859,1
467,Sammis 3,AEP,ST,180.0,23.472780030000003,1
468,Sammis 6,AEP,ST,600.0,23.472780030000003,1
469,Sammis 2,AEP,ST,180.0,23.472780030000003,1
470,Sammis 1,AEP,ST,180.0,23.472780030000003,1
471,Sammis A,AEP,DS,3.0,145.3076859,1
472,Sammis 5,AEP,ST,300.0,23.472780030000003,1
473,Sammis B1,AEP,DS,2.6,145.3076859,1
474,Sammis 4,AEP,ST,180.0,23.472780030000003,1
476,Sammis B4,AEP,DS,3.0,145.3076859,1
477,Sammis 7,AEP,ST,600.0,23.472780030000003,1
478,West Lorain 2,ATSI,CT,90.0,47.903907160463,1
479,West Lorain A (Beaver),ATSI,CT,64.0,47.903907160463,1
480,West Lorain 4,ATSI,CT,90.0,47.903907160463,1
481,West Lorain B (Beaver),ATSI,CT,64.0,47.903907160463,1
482,West Lorain 5,ATSI,CT,90.0,47.903907160463,1
483,West Lorain 3,ATSI,CT,90.0,47.903907160463,1
484,West Lorain 6,ATSI,CT,90.0,47.903907160463,1
485,Muskigum Rv 1,AEP,ST,203.1,21.70291473,1
486,Muskigum Rv 2,AEP,ST,200.1,21.70291473,1
487,Muskigum Rv 4,AEP,ST,210.1,21.70291473,1
488,Muskigum Rv 5,AEP,ST,600.0,21.70291473,1
489,Muskigum Rv 3,AEP,ST,210.1,21.70291473,1
490,Kyger Creek 5,AEP,ST,205.0,22.059126516000003,1
491,Kyger Creek 1,AEP,ST,205.0,22.059126516000003,1
492,Kyger Creek 3,AEP,ST,205.0,22.059126516000003,1
493,Kyger Creek 2,AEP,ST,205.0,22.059126516000003,1
494,Kyger Creek 4,AEP,ST,205.0,22.059126516000003,1
497,Bay Shore 1,ATSI,ST,150.0,21.157831275000003,1
