Gen_Index,zone,capacity,Ramp_Rate,Ramp_Start,Ramp_Shutdown
Berr Sprg 08,EAST,0.47044354838709673,0.12,0.57,0.06
Berr Sprg 06,EAST,0.3446908602150538,0.12,0.57,0.06
Berr Sprg 03,EAST,0.3330241935483871,0.12,0.57,0.06
Buchanan 10,EAST,0.1582258064516129,0.1,0.475,0.05
Buchanan 01,EAST,0.1383736559139785,0.08000000000000002,0.38,0.04000000000000001
Buchanan 06,EAST,0.22913978494623655,0.08000000000000002,0.38,0.04000000000000001
Buchanan 05,EAST,0.19826612903225804,0.08000000000000002,0.38,0.04000000000000001
Buchanan 04,EAST,0.21426075268817205,0.08000000000000002,0.38,0.04000000000000001
Buchanan 08,EAST,0.2945295698924731,0.1,0.475,0.05
Buchanan 09,EAST,0.2890322580645161,0.1,0.475,0.05
Buchanan 07,EAST,0.2696774193548387,0.1,0.475,0.05
Buchanan 03,EAST,0.20879032258064517,0.08000000000000002,0.38,0.04000000000000001
Buchanan 02,EAST,0.17266129032258065,0.08000000000000002,0.38,0.04000000000000001
Constantine 2,EAST,0.09361559139784947,0.06,0.285,0.03
Constantine 1,EAST,0.20540322580645162,0.06,0.285,0.03
Constantine 4,EAST,0.14639784946236561,0.06,0.285,0.03
Constantine 3,EAST,0.08150537634408603,0.06,0.285,0.03
Mottville 1,EAST,0.19899193548387098,0.2,0.95,0.1
Mottville 4,EAST,0.0,0.2,0.95,0.1
Mottville 2,EAST,0.2995833333333333,0.2,0.95,0.1
Mottville 3,EAST,0.3103360215053763,0.2,0.95,0.1
Clinton 1,EAST,0.0,213.01999999999998,1011.8449999999999,106.50999999999999
England Diesel 4,EAST,2.0,0.4,1.9,0.2
England Diesel 2,EAST,2.0,0.4,1.9,0.2
England Diesel 3,EAST,2.0,0.4,1.9,0.2
England 2,EAST,155.0,31.0,147.25,15.5
England Diesel 1,EAST,2.0,0.4,1.9,0.2
England 1,EAST,129.0,25.8,122.55,12.9
England 3,EAST,160.0,32.0,152.0,16.0
Carll s Corner 1,EAST,43.0,8.6,40.85,4.3
Carll s Corner 2,EAST,43.0,8.6,40.85,4.3
Cedar Station 2,EAST,26.0,5.2,24.7,2.6
Cedar Station 1,EAST,52.0,10.4,49.4,5.2
Middle Station 1,EAST,23.0,4.6000000000000005,21.849999999999998,2.3000000000000003
Middle Station 3,EAST,44.0,8.8,41.8,4.4
Middle Station 2,EAST,23.0,4.6000000000000005,21.849999999999998,2.3000000000000003
Missouri Ave C,EAST,24.0,4.800000000000001,22.799999999999997,2.4000000000000004
Missouri Ave B,EAST,24.0,4.800000000000001,22.799999999999997,2.4000000000000004
Missouri Ave D,EAST,24.0,4.800000000000001,22.799999999999997,2.4000000000000004
Deepwater 1,EAST,87.0,17.400000000000002,82.64999999999999,8.700000000000001
Deepwater 6/8,EAST,81.0,16.2,76.95,8.1
Werner C3,EAST,73.0,14.600000000000001,69.35,7.300000000000001
Werner C2,EAST,73.0,14.600000000000001,69.35,7.300000000000001
Werner C4,EAST,73.0,14.600000000000001,69.35,7.300000000000001
Werner C1,EAST,73.0,14.600000000000001,69.35,7.300000000000001
Oyster Creek 1,EAST,637.0,127.4,605.15,63.7
Sayreville C4,EAST,77.0,15.4,73.14999999999999,7.7
Sayreville C3,EAST,77.0,15.4,73.14999999999999,7.7
Sayreville C1,EAST,77.0,15.4,73.14999999999999,7.7
Sayreville C2,EAST,73.0,14.600000000000001,69.35,7.300000000000001
Gilbert 6,EAST,70.0,14.0,66.5,7.0
Gilbert C4,EAST,31.0,6.2,29.45,3.1
Gilbert C3,EAST,31.0,6.2,29.45,3.1
