timepoint,segments,MW,Price
15,10,1486,0.12712453695108997
16,1,1479,3499.989692229865
16,2,1479,3479.1231541553952
16,3,1479,3151.063392943576
16,4,1479,2159.632280007272
16,5,1479,1008.7455614282303
16,6,1479,319.70544830672804
16,7,1479,70.92949204069724
16,8,1479,11.410619138915434
16,9,1479,1.3726405395447816
16,10,1479,0.12662387619317556
17,1,1476,3499.9886689602704
17,2,1476,3478.3823357686947
17,3,1476,3145.8820116464217
17,4,1476,2151.734978608667
17,5,1476,1003.9503957710683
17,6,1476,318.29150558815826
17,7,1476,70.73804430427232
17,8,1476,11.413620060337369
17,9,1476,1.3785689613171708
17,10,1476,0.12780859970265987
18,1,1508,3499.9939013801036
18,2,1508,3483.9703806601055
18,3,1508,3195.019751624694
18,4,1508,2241.15926468592
18,5,1508,1069.2354736754855
18,6,1508,343.10019002696635
18,7,1508,76.29507848302454
18,8,1508,12.185519931230886
18,9,1508,1.4428969395149074
18,10,1508,0.13001930205349654
19,1,1575,3499.998951687026
19,2,1575,3492.6438047684783
19,3,1575,3291.1566684033755
19,4,1575,2440.9484825300938
19,5,1575,1226.6070187470084
19,6,1575,405.21646776762054
19,7,1575,90.34953803766749
19,8,1575,14.11522642888573
19,9,1575,1.599162276299776
19,10,1575,0.13518832951880763
20,1,1589,3499.999319376101
20,2,1589,3493.849575269126
20,3,1589,3308.268427603264
20,4,1589,2481.205166057769
20,5,1589,1260.368383932494
20,6,1589,418.85454085051805
20,7,1589,93.40833834756147
20,8,1589,14.517184257621034
20,9,1589,1.6282777399792134
20,10,1589,0.13569358572087706
21,1,1568,3499.9987249858095
21,2,1568,3491.9124383919348
21,3,1568,3281.241897699235
21,4,1568,2418.199610706594
21,5,1568,1207.687215906654
21,6,1568,397.52637261904476
21,7,1568,88.5851543884882
21,8,1568,13.871545371712218
21,9,1568,1.579216555901523
21,10,1568,0.13445756403574213
22,1,1541,3499.9974281612635
22,2,1541,3488.8429218129704
22,3,1541,3243.825573748241
22,4,1541,2336.9067993709946
22,5,1541,1142.1077046896519
22,6,1541,371.30520122819723
22,7,1541,82.6142288506338
22,8,1541,13.049213424378015
22,9,1541,1.512283962642343
22,10,1541,0.13214089763526504
23,1,1485,3499.9921953985963
23,2,1485,3481.168186047377
23,3,1485,3166.786168797927
23,4,1485,2186.2101906521084
23,5,1485,1027.318768134106
23,6,1485,326.5924474851467
23,7,1485,72.45850059898476
23,8,1485,11.624893311895171
23,9,1485,1.391282787723043
23,10,1485,0.12742095375090362
24,1,1423,3499.972163315491
24,2,1423,3466.1539657235903
24,3,1423,3055.868210862097
24,4,1423,2003.8412880564904
24,5,1423,901.9721737480348
24,6,1423,280.53806388041284
24,7,1423,62.29709752597462
24,8,1423,10.216684760078687
24,9,1423,1.2736554355036367
24,10,1423,0.12356200887952973
