Gen_Index,Name,Category,Capacity,Fuel_Cost
412,Tait D 1,DS,2.5,80
413,Tait D 3,DS,2.5,80
414,Tait D 2,DS,2.5,80
415,Hutchings CT 7,CT,23,50
423,Stuart 4,ST,585,25
425,Stuart 2,ST,585,25
426,Stuart D 2,DS,2.5,80
428,Stuart D 1,DS,2.5,80
430,Stuart 3,ST,585,25
432,Stuart D 4,DS,2.5,80
433,Stuart D 3,DS,2.5,80
434,Monument D 3,DS,2.4,80
435,Monument D 5,DS,2.4,80
436,Monument D 2,DS,2.4,80
437,Monument D 1,DS,2.4,80
438,Monument D 4,DS,2.4,80
439,Sidney D 3,DS,2.4,80
440,Sidney D 2,DS,2.4,80
441,Sidney D 4,DS,2.4,80
442,Sidney D 1,DS,2.4,80
443,Sidney D 5,DS,2.4,80
444,Yankee GT 4,CT,18,50
445,Yankee GT 7,CT,18,50
446,Yankee GT 5,CT,18,50
447,Yankee GT 2,CT,22,50
448,Yankee GT 1,CT,22,50
449,Yankee GT 6,CT,18,50
450,Yankee GT 3,CT,22,50
455,Niles CT A,CT,30,50
465,Sammis B2,DS,3,80
466,Sammis B3,DS,2,80
467,Sammis 3,ST,180,25
468,Sammis 6,ST,600,25
469,Sammis 2,ST,180,25
470,Sammis 1,ST,180,25
471,Sammis A,DS,3,80
472,Sammis 5,ST,300,25
473,Sammis B1,DS,2,80
474,Sammis 4,ST,180,25
476,Sammis B4,DS,3,80
477,Sammis 7,ST,600,25
478,West Lorain 2,CT,90,50
479,West Lorain A (Beaver),CT,64,50
480,West Lorain 4,CT,90,50
481,West Lorain B (Beaver),CT,64,50
482,West Lorain 5,CT,90,50
483,West Lorain 3,CT,90,50
484,West Lorain 6,CT,90,50
490,Kyger Creek 5,ST,205,25
491,Kyger Creek 1,ST,205,25
492,Kyger Creek 3,ST,205,25
493,Kyger Creek 2,ST,205,25
494,Kyger Creek 4,ST,205,25
497,Bay Shore 1,ST,150,25
498,Bay Shore CT,CT,18,50
500,Richland 6,CT,135,50
501,Richland 2,CT,15,50
502,Richland 5,CT,135,50
503,Richland 4,CT,135,50
504,Richland 3,CT,18,50
505,Richland 1,CT,15,50
506,Stryker 1,CT,19,50
507,Brunot Island 1A,CT,20,50
510,Brunot Island 2B,CC,58,30
511,Brunot Island 4,CC,147,30
512,Brunot Island 2A,CC,58,30
513,Brunot Island 3,CC,58,30
514,Elrama 4,ST,175,25
515,Elrama 1,ST,95,25
516,Elrama 3,ST,105,25
517,Elrama 2,ST,95,25
518,Hamilton 1,CT,26,50
519,Hunterstown 3,CT,27,50
520,Hunterstown 2,CT,27,50
521,Hunterstown 1,CT,27,50
522,Mountain 2,CT,27,50
523,Mountain 1,CT,27,50
524,Orrtanna 1,CT,26,50
525,Portland 4,CT,26,50
526,Portland 1,ST,158,25
527,Portland 2,ST,243,25
528,Portland 3,CT,19,50
529,Portland 5,CT,156,50
530,Shawnee 1,CT,26,50
531,Titus 5,CT,20,50
535,Titus 4,CT,19,50
536,Tolna 2,CT,27,50
537,Tolna 1,CT,27,50
538,York Haven Hydro,HD,19,5
539,Conemaugh Diesel B,DS,3,80
540,Conemaugh Diesel D,DS,3,80
541,Conemaugh Diesel A,DS,3,80
542,Conemaugh 2,ST,850,25
543,Conemaugh Diesel C,DS,3,80
544,Conemaugh 1,ST,850,25
545,Blossburg CT,CT,26,50
546,Homer City 3,ST,650,25
548,Homer City 2,ST,614,25
551,Homer City 1,ST,620,25
552,Piney 2,HD,9,5
553,Piney 1,HD,9,5
554,Piney 3,HD,9,5
556,Seward 1,ST,518,25
558,Shawville 3,ST,180,25
559,Shawville 7,DS,2,80
560,Shawville 5,DS,2,80
561,Shawville 1,ST,128,25
562,Shawville 6,DS,2,80
563,Shawville 4,ST,180,25
564,Shawville 2,ST,130,25
565,Warren CT,CT,79,50
569,Keystone 2,ST,850,25
570,Keystone Diesel 6,DS,3,80
571,Keystone 1,ST,850,25
572,Keystone Diesel 5,DS,3,80
573,Keystone Diesel 3,DS,3,80
574,Keystone Diesel 4,DS,3,80
575,New Castle 5,ST,140,25
576,New Castle 4,ST,92,25
577,New Castle 3,ST,93,25
578,New Castle EMD B,DS,3,80
579,New Castle EMD A,DS,3,80
580,Allentown 4,CT,18,50
581,Allentown 2,CT,18,50
582,Allentown 1,CT,18,50
583,Allentown 3,CT,18,50
586,Brunner Island 2,ST,390,25
587,Brunner Island 3,ST,745,25
589,Brunner Island 1,ST,334,25
590,Fishbach 2,CT,18,50
591,Fishbach 1,CT,18,50
592,Harrisburg 1,CT,18,50
594,Harrisburg 3,CT,18,50
595,Harrisburg 2,CT,18,50
596,Harwood 1,CT,18,50
597,Harwood 2,CT,18,50
598,Holtwood 01,HD,10,5
599,Holtwood 03,HD,11,5
600,Holtwood 13,HD,1.25,5
601,Holtwood 02,HD,10,5
602,Holtwood 05,HD,11,5
603,Holtwood 11,HD,1.25,5
604,Holtwood 04,HD,10,5
605,Holtwood 08,HD,11,5
606,Holtwood 09,HD,13,5
607,Holtwood 06,HD,11,5
609,Holtwood 18,HD,64.6,5
610,Holtwood 10,HD,12,5
611,Holtwood 19,HD,64.6,5
612,Holtwood 07,HD,10,5
613,Jenkins(Georgetown) 2,CT,18,50
614,Jenkins(Georgetown) 1,CT,18,50
615,Lockhaven 1,CT,18,50
619,Martins Creek CTG 3,CT,24,50
620,Martins Creek CTG 4,CT,24,50
621,Martins Creek 4,ST,820,25
622,Martins Creek CTG 2,CT,24,50
623,Martins Creek CTG 1,CT,24,50
625,Martins Creek 3,ST,850,25
626,Montour 2,ST,755,25
627,Montour 1,ST,757,25
628,Montour ATG,ST,15,25
629,Sunbury CTG 2,CT,24,50
630,Sunbury Diesel 1,DS,3,80
631,Sunbury Diesel 2,DS,3,80
633,Sunbury CTG 1,CT,24,50
638,Wallenpaupack 2,HD,22,5
