Gen_Index,Capacity,Fuel_Cost
886,147,30
887,35,25
888,55,25
889,174,30
890,198,30
891,195,30
894,30,25
899,50,25
900,63,25
902,80,25
908,23,30
909,39,30
910,39,30
911,23,30
912,90,50
913,96,50
914,47,30
915,30,25
916,43,25
917,12,25
918,110,25
919,8,5
920,3,5
921,7,5
922,39,25
923,250,30
924,85,25
925,69,25
926,69,25
927,363,30
928,363,30
929,182,50
930,5,5
931,3,80
932,11,5
935,125,50
936,125,50
938,125,50
939,80,25
942,2,80
943,8,5
947,142,50
948,107,50
949,98,50
950,98,50
951,142,50
952,98,50
953,98,50
954,107,50
955,142,50
956,82.7,30
960,47,25
961,58,25
962,58,25
963,47,25
966,238,25
968,28,25
969,88,25
970,49,25
971,262,30
972,51,30
973,3,80
974,48,25
976,3,80
977,7,80
978,150,30
980,230,30
981,144,30
982,144,30
983,21,5
984,21,5
985,33.6,5
986,27.5,5
987,27.5,5
988,27.5,5
989,27.5,5
990,52,5
991,52,5
992,52,5
993,17,5
994,17,5
995,17,5
996,5,80
997,5,80
998,9.6,80
999,5,80
1005,30,50
1006,110,50
1007,110,50
1008,110,50
1009,88,50
1017,300,30
1018,300,30
1019,305,30
1020,300,30
1024,202,50
1025,202,50
1026,202,50
1027,175.7,30
1028,139,30
1029,175.7,30
1030,139,30
1031,150,30
1032,175,30
1033,175,30
1034,138,30
1035,191,30
1036,191,30
1037,44,50
1038,44,50
1039,208,50
1040,208,50
1041,154,50
1042,190,50
1043,190,50
1044,190,50
1045,154,50
1046,155,50
1047,154,50
1048,155,50
1049,190,50
1052,38,30
1053,38,30
1054,62,30
1055,1.9,80
1056,38,30
1061,59,50
1062,59,50
1063,59,50
1064,59,50
1065,152,30
1067,152,30
1068,217,30
1069,50,50
1070,50,50
1071,50,50
1072,50,50
1073,50,50
1074,80,50
1075,80,50
1076,80,50
1077,80,50
1078,80,50
1079,80,50
1080,80,50
1081,80,50
1082,150,50
1083,150,50
1084,766,30
1085,94,50
1086,94,50
1087,94,50
1088,94,50
1089,94,50
1090,94,50
1091,94,50
1092,94,50
1093,94,50
1094,94,50
1095,50,50
1096,50,50
1097,50,50
1098,50,50
1099,50,50
1100,50,50
1104,75.2,50
1105,75.2,50
1106,75.2,50
1107,75.2,50
1108,91,50
1109,91,50
1110,91,50
1111,91,50
1112,90,50
1113,91,50
1114,45,50
1115,45,50
1116,152,50
1117,45,50
1118,45,50
1119,152,50
1120,45,50
1121,152,50
1122,45,50
1123,152,50
1124,44,50
1125,44,50
1126,44,50
1127,44,50
1128,44,50
1129,44,50
1130,44,50
1131,44,50
1132,56,50
1133,56,50
1134,56,50
1135,56,50
1136,56,50
1141,200,50
1142,200,50
1143,390,30
1144,390,30
1145,390,30
1146,624,30
1147,630,30
1148,225,30
1149,225,30
1151,223,30
1152,147,50
1153,146,50
1154,149,50
1155,147,50
1156,150,50
1157,150,50
1158,150,50
1159,150,50
1160,155,50
1161,151,50
1162,148,30
1163,249,30
1164,148,30
1165,165,30
1166,150,30
1167,150,30
1168,150,30
1169,165,30
1170,165,30
1171,150,30
1172,165,30
1176,44,50
1177,44,50
1190,45,50
1191,45,50
1192,45,50
1193,45,50
1194,45,50
1195,45,50
1196,45,50
