date,pjm_pv_jeremy_scaled_3_28,NREL_wind_scaled
1/13/2007,0,0.287894799
1/13/2007,0.012808876,0.278547273
1/13/2007,0.045174612,0.2548593
1/13/2007,0.089343148,0.245296198
1/13/2007,0.096308485,0.229607209
1/13/2007,0.119972776,0.213291683
1/13/2007,0.11832217,0.187619102
1/13/2007,0.069250098,0.158941579
1/13/2007,0.039693521,0.164150564
1/13/2007,0.025694069,0.156427297
1/13/2007,0.000462918,0.148960372
1/13/2007,0,0.124988609
1/13/2007,0,0.099765287
1/13/2007,0,0.093694601
1/13/2007,0,0.094042514
1/13/2007,0,0.093898138
1/13/2007,0,0.089278583
1/14/2007,0,0.084853362
1/14/2007,0,0.084786862
1/14/2007,0,0.084709597
1/14/2007,0,0.098340315
1/14/2007,0,0.117144531
1/14/2007,0,0.134007718
1/14/2007,0,0.128267284
1/14/2007,0,0.127477844
1/14/2007,0.007161214,0.142179446
1/14/2007,0.022171716,0.172975119
1/14/2007,0.064398124,0.142934919
1/14/2007,0.079416301,0.151267774
1/14/2007,0.061297462,0.157970785
1/14/2007,0.106701161,0.150068464
1/14/2007,0.085075958,0.14132364
1/14/2007,0.066809555,0.124868378
1/14/2007,0.029115774,0.131321702
1/14/2007,0.000461808,0.202406464
1/14/2007,0,0.239930855
1/14/2007,0,0.228783221
1/14/2007,0,0.237676668
1/14/2007,0,0.279195476
1/14/2007,0,0.238671121
1/14/2007,0,0.229042448
1/15/2007,0,0.231146675
1/15/2007,0,0.317284355
1/15/2007,0,0.296067185
1/15/2007,0,0.270869207
1/15/2007,0,0.263627982
1/15/2007,0,0.250895727
1/15/2007,0,0.286753792
1/15/2007,0,0.297216579
1/15/2007,0.011672568,0.29118079
1/15/2007,0.021362109,0.321655291
1/15/2007,0.052755211,0.321755336
1/15/2007,0.088789602,0.348919667
1/15/2007,0.138840947,0.394108103
1/15/2007,0.082690892,0.418518279
1/15/2007,0.086316041,0.451092635
1/15/2007,0.086849998,0.447215461
1/15/2007,0.043812723,0.453947063
1/15/2007,0.001035027,0.458871601
1/15/2007,0,0.511760773
1/15/2007,0,0.460267807
1/15/2007,0,0.455070424
1/15/2007,0,0.433491267
1/15/2007,0,0.44972867
1/15/2007,0,0.453547078
1/16/2007,0,0.429670989
1/16/2007,0,0.445842212
1/16/2007,0,0.436990804
1/16/2007,0,0.442140317
1/16/2007,0,0.428724156
1/16/2007,0,0.424593292
1/16/2007,0,0.40958734
1/16/2007,0,0.397751592
1/16/2007,0.007677324,0.380353746
1/16/2007,0.015727482,0.358953607
1/16/2007,0.04821147,0.325829255
1/16/2007,0.085441522,0.31510273
1/16/2007,0.119656938,0.305879627
1/16/2007,0.143913109,0.300522485
1/16/2007,0.142756977,0.300069528
1/16/2007,0.067610491,0.296237335
1/16/2007,0.037878596,0.282803808
1/16/2007,0.000441601,0.287513247
1/16/2007,0,0.289468614
1/16/2007,0,0.277026388
1/16/2007,0,0.25027368
