"","UTILUNIT","ID6","ORISPL","RATINGMW","LAT","LON"
"530","237-341","CT","3114",26,41.061194,-75.058242
"531","237-325","CT","3115",20,40.3056,-75.9081
"532","237-121","ST","3115",83,40.3056,-75.9081
"533","237-122","ST","3115",83,40.3056,-75.9081
"534","237-123","ST","3115",83,40.3056,-75.9081
"535","237-324","CT","3115",19,40.3056,-75.9081
"536","237-359","CT","3116",27,39.760634,-76.635341
"537","237-358","CT","3116",27,39.760634,-76.635341
"538","208-511","HD","3117",19,40.113625,-76.71195
"539","238-412","DS","3118",3,40.3842,-79.0611
"540","238-414","DS","3118",3,40.3842,-79.0611
"541","238-411","DS","3118",3,40.3842,-79.0611
"542","238-112","ST","3118",850,40.3842,-79.0611
"543","238-413","DS","3118",3,40.3842,-79.0611
"544","238-111","ST","3118",850.4,40.3842,-79.0611
"545","238-301","CT","3120",26,41.706475,-77.08184
"546","220-133","ST","3122",650,40.512825,-79.196107
"547","211-133","ST","3122",650,40.512825,-79.196107
"548","220-132","ST","3122",614,40.512825,-79.196107
"549","211-132","ST","3122",614,40.512825,-79.196107
"550","211-131","ST","3122",620,40.512825,-79.196107
"551","220-131","ST","3122",620,40.512825,-79.196107
"552","262-506","HD","3124",9,41.192088,-79.433501
"553","262-505","HD","3124",9,41.192088,-79.433501
"554","262-507","HD","3124",9,41.192088,-79.433501
"555","238-854","ST","3130",62,40.40625,-79.03366
"556","238-651","ST","3130",525,40.40625,-79.03366
"557","238-155","ST","3130",137,40.40625,-79.03366
"558","238-163","ST","3131",180,41.06755,-78.366228
"559","238-467","DS","3131",2,41.06755,-78.366228
"560","238-465","DS","3131",2,41.06755,-78.366228
"561","238-161","ST","3131",128,41.06755,-78.366228
"562","238-466","DS","3131",2,41.06755,-78.366228
"563","238-164","ST","3131",180,41.06755,-78.366228
"564","238-162","ST","3131",130,41.06755,-78.366228
"565","238-372","CT","3132",79,41.835947,-79.188668
"566","238-871","ST","3132",41,41.835947,-79.188668
"567","238-872","ST","3132",41,41.835947,-79.188668
"568","238-323","CT","3134",76,41.519167,-80.011111
"569","238-142","ST","3136",850.4,40.6604,-79.3411
"570","238-446","DS","3136",3,40.6604,-79.3411
"571","238-141","ST","3136",850,40.6604,-79.3411
"572","238-445","DS","3136",3,40.6604,-79.3411
"573","238-443","DS","3136",3,40.6604,-79.3411
"574","238-444","DS","3136",3,40.6604,-79.3411
"575","431-155","ST","3138",140,40.937939,-80.369007
"576","431-154","ST","3138",97.1,40.937939,-80.369007
"577","431-153","ST","3138",95.1,40.937939,-80.369007
"578","431-472","DS","3138",3,40.937939,-80.369007
"579","431-471","DS","3138",3,40.937939,-80.369007
"580","212-325","CT","3139",18,40.608388,-75.45599
"581","212-323","CT","3139",18,40.608388,-75.45599
"582","212-322","CT","3139",18,40.608388,-75.45599
"583","212-324","CT","3139",18,40.608388,-75.45599
"584","212-415","DS","3140",3,40.096111,-76.6962
"585","212-417","DS","3140",2.2,40.096111,-76.6962
"586","212-114","ST","3140",390,40.096111,-76.6962
"587","212-137","ST","3140",749,40.096111,-76.6962
"588","212-416","DS","3140",3,40.096111,-76.6962
"589","212-113","ST","3140",334,40.096111,-76.6962
"590","212-339","CT","3142",18,40.689064,-76.219639
"591","212-338","CT","3142",18,40.689064,-76.219639
"592","212-328","CT","3143",18,40.257865,-76.857897
"593","212-331","CT","3143",18,40.257865,-76.857897
"594","212-330","CT","3143",18,40.257865,-76.857897
"595","212-329","CT","3143",18,40.257865,-76.857897
"596","212-332","CT","3144",18,40.9353,-76.0284
"597","212-333","CT","3144",18,40.9353,-76.0284
"598","262-524","HD","3145",10,39.827198,-76.331772
"599","262-526","HD","3145",12.7,39.827198,-76.331772
"600","262-535","HD","3145",1.25,39.827198,-76.331772
"601","262-525","HD","3145",11.7,39.827198,-76.331772
"602","262-528","HD","3145",12.1,39.827198,-76.331772
"603","262-534","HD","3145",1.25,39.827198,-76.331772
"604","262-527","HD","3145",11.2,39.827198,-76.331772
"605","262-531","HD","3145",11,39.827198,-76.331772
"606","262-532","HD","3145",13.2,39.827198,-76.331772
"607","262-529","HD","3145",12.5,39.827198,-76.331772
"608","212-111","ST","3145",73,39.827198,-76.331772
"609","262-536","HD","3145",64.6,39.827198,-76.331772
"610","262-533","HD","3145",13.2,39.827198,-76.331772
"611","262-537","HD","3145",64.6,39.827198,-76.331772
"612","262-530","HD","3145",11.4,39.827198,-76.331772
"613","212-327","CT","3146",18,41.282405,-75.816439
"614","212-326","CT","3146",18,41.282405,-75.816439
"615","212-340","CT","3147",18,41.1189,-77.4709
"616","212-419","DS","3148",2,40.797762,-75.105416
"617","212-418","DS","3148",3,40.797762,-75.105416
"618","212-112","ST","3148",150,40.797762,-75.105416
"619","212-345","CT","3148",24,40.797762,-75.105416
"620","212-346","CT","3148",24,40.797762,-75.105416
