Gen_Index,Fuel_Cost,Pmin,start_cost,Can_Spin
853,21.52022504,0.4,53600,1
854,36.68685983,0.4,400,1
855,21.52022504,0.4,53600,1
856,292.4577922,0.25,157.5,1
857,292.4577922,0.25,37.5,1
858,292.4577922,0.25,157.5,1
859,292.4577922,0.25,37.5,1
860,292.4577922,0.25,157.5,1
861,80.53837662,0.4,127.5,1
862,292.4577922,0.25,157.5,1
863,80.53837662,0.4,127.5,1
864,0,0,0,0
865,0,0,0,0
866,0,0,0,0
867,0,0,0,0
868,0,0,0,0
869,0,0,0,0
870,0,0,0,0
871,0,0,0,0
872,0,0,0,0
873,0,0,0,0
874,0,0,0,0
875,0,0,0,0
876,33.15539991,0.4,5200,1
877,43.20689655,0.4,1325,1
879,38.87476532,0.4,3000,1
880,26.51108405,0.4,1900,1
881,45.19508614,0.4,115,1
882,45.19508614,0.4,1100,1
883,45.19508614,0.4,115,1
885,116.5868331,0.25,300,1
886,32.77503041,0.4,14700,1
887,21.70291473,0.4,3500,1
888,21.70291473,0.4,5500,1
889,34.30482021,0.4,17400,1
890,33.96465249,0.4,19800,1
891,31.37032968,0.4,19500,1
894,34.74165271,0.4,3000,1
899,38.26301177,0.4,5000,1
900,43.80439851,0.4,6300,1
902,27.92207556,0.4,8000,1
908,35.61079558,0.4,2300,1
909,35.61079558,0.4,3900,1
910,35.61079558,0.4,3900,1
911,35.61079558,0.4,2300,1
912,35.54345109,0.4,2250,1
913,35.54345109,0.4,2400,1
914,40.11956652,0.4,4700,1
915,43.02583259,0.4,3000,1
916,31.77396384,0.4,4300,1
917,48.61852064,0.4,1200,1
918,21.9090035,0.4,11000,1
919,0,0,0,0
920,0,0,0,0
921,0,0,0,0
922,37.25135219,0.4,3900,1
923,31.38838541,0.4,25000,1
924,28.26010538,0.4,8500,1
925,26.36085032,0.4,6900,1
926,26.36085032,0.4,6900,1
927,31.71307714,0.4,36300,1
928,31.71307714,0.4,36300,1
929,31.71307714,0.4,4550,1
930,0,0,0,0
931,170.6522714,0.25,75,1
932,0,0,0,0
935,45.93491163,0.4,3125,1
936,45.93491163,0.4,3125,1
938,45.93491163,0.4,3125,1
939,30.99009867,0.4,8000,1
942,133.0262343,0.25,50,1
943,0,0,0,0
947,47.82147171,0.4,3550,1
948,47.82147171,0.4,2675,1
949,47.82147171,0.4,2450,1
950,47.82147171,0.4,2450,1
