Gen_Index,Name,Zone,Category,Capacity,Fuel_Cost,Can_Spin
414,Tait D 2,WEST,DS,2.5,80,1
415,Hutchings CT 7,WEST,CT,23,50,1
423,Stuart 4,VA_DOM,ST,585,25,1
425,Stuart 2,VA_DOM,ST,585,25,1
426,Stuart D 2,VA_DOM,DS,2.5,80,1
428,Stuart D 1,VA_DOM,DS,2.5,80,1
430,Stuart 3,VA_DOM,ST,585,25,1
432,Stuart D 4,VA_DOM,DS,2.5,80,1
433,Stuart D 3,VA_DOM,DS,2.5,80,1
434,Monument D 3,WEST,DS,2.4,80,1
435,Monument D 5,WEST,DS,2.4,80,1
436,Monument D 2,WEST,DS,2.4,80,1
437,Monument D 1,WEST,DS,2.4,80,1
438,Monument D 4,WEST,DS,2.4,80,1
439,Sidney D 3,WEST,DS,2.4,80,1
440,Sidney D 2,WEST,DS,2.4,80,1
441,Sidney D 4,WEST,DS,2.4,80,1
442,Sidney D 1,WEST,DS,2.4,80,1
443,Sidney D 5,WEST,DS,2.4,80,1
444,Yankee GT 4,WEST,CT,18,50,1
445,Yankee GT 7,WEST,CT,18,50,1
446,Yankee GT 5,WEST,CT,18,50,1
447,Yankee GT 2,WEST,CT,22,50,1
448,Yankee GT 1,WEST,CT,22,50,1
449,Yankee GT 6,WEST,CT,18,50,1
450,Yankee GT 3,WEST,CT,22,50,1
455,Niles CT A,WEST,CT,30,50,1
465,Sammis B2,WEST,DS,3,80,1
466,Sammis B3,WEST,DS,2,80,1
467,Sammis 3,WEST,ST,180,25,1
468,Sammis 6,WEST,ST,600,25,1
469,Sammis 2,WEST,ST,180,25,1
470,Sammis 1,WEST,ST,180,25,1
471,Sammis A,WEST,DS,3,80,1
472,Sammis 5,WEST,ST,300,25,1
473,Sammis B1,WEST,DS,2,80,1
474,Sammis 4,WEST,ST,180,25,1
476,Sammis B4,WEST,DS,3,80,1
477,Sammis 7,WEST,ST,600,25,1
478,West Lorain 2,WEST,CT,90,50,1
479,West Lorain A (Beaver),WEST,CT,64,50,1
480,West Lorain 4,WEST,CT,90,50,1
481,West Lorain B (Beaver),WEST,CT,64,50,1
482,West Lorain 5,WEST,CT,90,50,1
483,West Lorain 3,WEST,CT,90,50,1
484,West Lorain 6,WEST,CT,90,50,1
490,Kyger Creek 5,WEST,ST,205,25,1
491,Kyger Creek 1,WEST,ST,205,25,1
