Gen_Index,zone,Capacity
1461,EAST,0
1462,EAST,0
1463,EAST,0
1464,EAST,0
1465,EAST,0
1466,EAST,0
1467,EAST,0
1468,EAST,1
1469,EAST,1
1470,EAST,48
1471,EAST,60
1472,EAST,18
1473,EAST,90
1474,EAST,57
1475,EAST,86
1476,EAST,15
1478,EAST,174
1479,EAST,195
1480,EAST,21
1481,EAST,420
1482,EAST,0
1483,EAST,91
1484,EAST,165
1488,EAST,0
1489,EAST,0
1490,EAST,0
1492,EAST,323.5
1493,EAST,0
1494,EAST,0
1495,EAST,0
1496,EAST,0
1497,EAST,0
1498,EAST,0
1499,EAST,0
1500,EAST,0
1501,EAST,1016
1504,EAST,0
1505,EAST,0
1506,EAST,0
1507,EAST,0
1508,EAST,0
1509,EAST,0
1510,EAST,0
1511,EAST,0
1512,EAST,0
1514,EAST,0
1515,EAST,0
1516,EAST,0
1517,EAST,0
1518,EAST,0
1519,EAST,0
1520,EAST,0
1521,EAST,0
1522,EAST,0
1523,EAST,0
1529,EAST,0
1530,EAST,0
1533,EAST,0
1534,EAST,0
1535,EAST,0
1552,EAST,0
1553,EAST,0
1554,EAST,0
1555,EAST,0
1556,EAST,0
1557,EAST,0
1558,EAST,0
1559,EAST,0
1560,EAST,0
1561,EAST,0
1562,EAST,0
1563,EAST,0
1564,EAST,0
1565,EAST,0
1566,EAST,0
1567,EAST,0
1568,EAST,4.8
1569,EAST,1073
1570,EAST,0
1571,EAST,0
1572,EAST,1300
1573,EAST,0
1574,EAST,0
1575,EAST,0
1576,EAST,0
1579,EAST,0
1580,EAST,0
1582,EAST,0
1583,EAST,0
1586,EAST,0
1588,EAST,0
1589,EAST,0
1590,EAST,0
1591,EAST,0
1592,EAST,0
1593,EAST,0
1594,EAST,0
1595,EAST,0
1596,EAST,0
1597,EAST,0
1598,EAST,0
1599,EAST,133
1601,EAST,5
1602,EAST,4
1603,EAST,0
1604,EAST,0
1605,EAST,0
1606,EAST,0
1607,EAST,0
1608,EAST,0
1609,EAST,0
1610,EAST,0
1611,EAST,0
1612,EAST,0
1613,EAST,0
1614,EAST,0
1615,EAST,0
1616,EAST,92
1617,EAST,0
1618,EAST,0
1619,EAST,0
1620,EAST,0
1621,EAST,0
1622,EAST,0
1623,EAST,0
1624,EAST,177
1625,EAST,120
1626,EAST,120
1627,EAST,545
1628,EAST,120
1629,EAST,541
1631,EAST,121
1633,EAST,94
1634,EAST,94
1635,EAST,94
1636,EAST,0
1637,EAST,0
1638,EAST,0
1639,EAST,0
1640,EAST,0
1641,EAST,0
1642,EAST,0
1643,EAST,0
1644,EAST,0
1645,EAST,0
1646,EAST,0
1647,EAST,0
1648,EAST,0
1649,EAST,0
1650,EAST,0
1651,EAST,0
1652,EAST,0
1653,EAST,0
1654,EAST,0
1655,EAST,0
1660,EAST,38
1661,EAST,38
1662,EAST,0
1663,EAST,0
1664,EAST,0
1665,EAST,0
1666,EAST,0
1668,EAST,0
1669,EAST,0
1670,EAST,30
1671,EAST,44
1672,EAST,44
1673,EAST,44
1674,EAST,0
1675,EAST,0
1676,EAST,0
1677,EAST,0
1684,EAST,0
1685,EAST,0
1686,EAST,0
1687,EAST,0
1691,EAST,0
1693,EAST,0
1694,EAST,159
1695,EAST,156
1696,EAST,156
1697,EAST,156
1698,EAST,0
1699,EAST,0
1700,EAST,0
1701,EAST,0
1702,EAST,0
1703,EAST,0
1704,EAST,0
1705,EAST,0
1706,EAST,0
1707,EAST,0
1708,EAST,0
1709,EAST,0
1710,EAST,0
1711,EAST,0
1712,EAST,0
1713,EAST,0
1714,EAST,0
1715,EAST,0
1716,EAST,0
1717,EAST,0
1718,EAST,0
1719,EAST,90
1720,EAST,90
1725,EAST,60
1726,EAST,0
1727,EAST,65
1728,EAST,65
1729,EAST,65
1730,EAST,65
1731,EAST,59
1732,EAST,43
1733,EAST,43
1734,EAST,1300
1737,EAST,0
1738,EAST,0
1739,EAST,0
1740,EAST,0
1741,EAST,0
1742,EAST,0
1751,EAST,0
1753,EAST,0
1756,EAST,0
1757,EAST,0
1776,EAST,0
1777,EAST,0
1782,EAST,0
1784,EAST,0
1785,EAST,0
1788,EAST,0
1789,EAST,0
1790,EAST,0
1791,EAST,0
1796,EAST,0
1797,EAST,0
1799,EAST,0
1800,EAST,0
1801,EAST,0
1803,EAST,0
1805,EAST,0
1806,EAST,0
1808,EAST,0
1809,EAST,0
1810,EAST,0
1811,EAST,0
1812,EAST,0
1813,EAST,0
1814,EAST,0
1815,EAST,0
1818,EAST,0
1819,EAST,0
1828,EAST,0
1829,EAST,0
1830,EAST,0
1831,EAST,0
1832,EAST,0
1833,EAST,0
1834,EAST,0
1835,EAST,0
1836,EAST,0
1841,EAST,0
1842,EAST,0
1843,EAST,0
1844,EAST,0
1845,EAST,0
1846,EAST,0
1847,EAST,0
1848,EAST,0
1849,EAST,10000
1850,EAST,0
1851,EAST,0
1852,EAST,0
1853,EAST,0
1,WEST,0
2,WEST,0
3,WEST,0
4,WEST,0
8,WEST,0
9,WEST,0
10,WEST,0
12,WEST,16
13,WEST,110
14,WEST,80
15,WEST,0
16,WEST,0
17,WEST,0
18,WEST,0
19,WEST,0
20,WEST,0
24,WEST,0
25,WEST,0
26,WEST,0
32,WEST,0
33,WEST,50
35,WEST,0
36,WEST,0
37,WEST,88
38,WEST,0
40,WEST,180
42,WEST,0
43,WEST,0
44,WEST,0
45,WEST,0
46,WEST,0
47,WEST,0
48,WEST,0
49,WEST,0
50,WEST,0
51,WEST,0
52,WEST,56
54,WEST,56
55,WEST,260
56,WEST,56
57,WEST,56
58,WEST,56
59,WEST,56
60,WEST,0
61,WEST,0
62,WEST,0
63,WEST,0
64,WEST,151
65,WEST,290
66,WEST,0
67,WEST,0
68,WEST,0
69,WEST,0
70,WEST,0
71,WEST,0
72,WEST,225
73,WEST,116
78,WEST,0
79,WEST,0
80,WEST,0
81,WEST,0
82,WEST,0
83,WEST,0
84,WEST,0
85,WEST,0
86,WEST,0
87,WEST,0
88,WEST,0
89,WEST,0
90,WEST,0
91,WEST,0
92,WEST,0
93,WEST,0
94,WEST,0
96,WEST,0
97,WEST,0
98,WEST,0
99,WEST,0
100,WEST,0
101,WEST,0
102,WEST,0
103,WEST,0
104,WEST,0
105,WEST,0
106,WEST,0
107,WEST,0
108,WEST,0
110,WEST,0
112,WEST,0
113,WEST,0
114,WEST,0
115,WEST,0
116,WEST,10
117,WEST,10
120,WEST,0
121,WEST,0
122,WEST,0
123,WEST,0
124,WEST,0
125,WEST,0
126,WEST,0
127,WEST,0
128,WEST,0
129,WEST,0
130,WEST,0
131,WEST,0
132,WEST,0
133,WEST,0
134,WEST,0
135,WEST,0
136,WEST,0
137,WEST,0
138,WEST,0
139,WEST,0
140,WEST,0
141,WEST,0
142,WEST,0
143,WEST,0
144,WEST,0
145,WEST,0
146,WEST,0
147,WEST,0
148,WEST,0
149,WEST,0
150,WEST,0
151,WEST,0
152,WEST,0
153,WEST,0
154,WEST,0
155,WEST,0
156,WEST,0
157,WEST,0
158,WEST,0
159,WEST,0
160,WEST,0
161,WEST,0
162,WEST,0
163,WEST,0
164,WEST,0
165,WEST,0
166,WEST,0.6
167,WEST,0.6
168,WEST,0.6
169,WEST,0.6
170,WEST,0.6
171,WEST,0.6
172,WEST,0.6
173,WEST,0.6
174,WEST,0.6
175,WEST,0.6
176,WEST,0.6
177,WEST,0.6
178,WEST,0.5
179,WEST,0.4
180,WEST,0.4
181,WEST,0.4
182,WEST,0.4
183,WEST,0.5
184,WEST,0.5
185,WEST,0.5
186,WEST,0.4
187,WEST,0.4
188,WEST,0.3
189,WEST,0.3
190,WEST,0.3
191,WEST,0.3
192,WEST,1
193,WEST,1
194,WEST,1
195,WEST,1
196,WEST,1023
200,WEST,0
