,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DC_BGE_PEP-Riverside 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Riverside 1 (Zelda 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Riverside 2 (Zelda 2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Riverside 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Riverside 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Riverside 3 (Zelda 3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Riverside 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Westport 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Crisfield 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Vienna 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Vienna 08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Deep Creek 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Deep Creek 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point CT 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point SMECO CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point CT 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point CT 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point 2,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,205.80,274.40,343.00,343.00,343.00,274.40,205.80,137.20
DC_BGE_PEP-Chalk Point 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point CT 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point CT 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Chalk Point 1,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,136.40,204.60,272.80,341.00,341.00,341.00,272.80,204.60,136.40
DC_BGE_PEP-Chalk Point CT 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Dickerson CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Dickerson H CT 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Dickerson 1,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,109.20,145.60,177.00,140.60,104.20,72.80,72.80
DC_BGE_PEP-Dickerson 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Dickerson H CT 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Dickerson 2,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,109.20,145.60,177.00,140.60,104.20,72.80,72.80
DC_BGE_PEP-Morgantown CT 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Morgantown CT 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
