Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Held as Reserves (MW)
Cogentrix Portsmouth 2 (Lk.Kingman),8,1.0,0.0,-0.0,2.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),9,1.0,-0.0,-0.0,3.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),10,1.0,-0.0,-0.0,4.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),11,1.0,-0.0,-0.0,5.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),12,1.0,-0.0,-0.0,6.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),13,1.0,-0.0,-0.0,7.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),14,1.0,-0.0,-0.0,8.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),15,1.0,-0.0,-0.0,9.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),16,1.0,-0.0,-0.0,10.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),17,1.0,-0.0,-0.0,11.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),18,1.0,-0.0,-0.0,12.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),19,1.0,0.0,-0.0,13.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),20,1.0,-0.0,-0.0,14.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),21,1.0,-0.0,-0.0,15.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),22,1.0,-0.0,-0.0,16.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),23,1.0,-0.0,-0.0,17.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),24,1.0,-0.0,-0.0,18.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),1,0.0,0.0,0.0,0.0,25.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),2,0.0,0.0,0.0,0.0,26.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),3,0.0,0.0,0.0,0.0,27.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),4,0.0,0.0,0.0,0.0,28.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),5,0.0,0.0,0.0,0.0,29.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),6,0.0,0.0,0.0,0.0,30.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),7,1.0,1.0,0.0,1.0,0.0,11.50
Cogentrix Portsmouth 1 (Lk.Kingman),8,1.0,0.0,-0.0,2.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),9,1.0,-0.0,-0.0,3.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),10,1.0,-0.0,-0.0,4.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),11,1.0,-0.0,-0.0,5.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),12,1.0,-0.0,-0.0,6.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),13,1.0,-0.0,-0.0,7.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),14,1.0,-0.0,-0.0,8.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),15,1.0,-0.0,-0.0,9.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),16,1.0,-0.0,-0.0,10.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),17,1.0,-0.0,-0.0,11.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),18,1.0,-0.0,-0.0,12.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),19,1.0,-0.0,-0.0,13.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),20,1.0,-0.0,-0.0,14.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),21,1.0,-0.0,-0.0,15.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),22,1.0,-0.0,-0.0,16.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),23,1.0,-0.0,-0.0,17.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),24,1.0,-0.0,-0.0,18.0,0.0,0
PCLP1 NUG,1,0.0,0.0,0.0,0.0,149.0,0
PCLP1 NUG,2,0.0,0.0,0.0,0.0,150.0,0
PCLP1 NUG,3,0.0,0.0,0.0,0.0,151.0,0
PCLP1 NUG,4,0.0,0.0,0.0,0.0,152.0,0
PCLP1 NUG,5,0.0,0.0,0.0,0.0,153.0,0
PCLP1 NUG,6,0.0,0.0,0.0,0.0,154.0,0
PCLP1 NUG,7,0.0,0.0,0.0,0.0,155.0,0
PCLP1 NUG,8,0.0,0.0,0.0,0.0,156.0,0
PCLP1 NUG,9,0.0,0.0,0.0,0.0,157.0,0
PCLP1 NUG,10,0.0,0.0,0.0,0.0,158.0,0
PCLP1 NUG,11,0.0,0.0,0.0,0.0,159.0,0
PCLP1 NUG,12,0.0,0.0,0.0,0.0,160.0,0
PCLP1 NUG,13,0.0,0.0,0.0,0.0,161.0,0
PCLP1 NUG,14,0.0,0.0,0.0,0.0,162.0,0
PCLP1 NUG,15,0.0,0.0,0.0,0.0,163.0,0
PCLP1 NUG,16,-0.0,-0.0,0.0,0.0,164.0,0
PCLP1 NUG,17,0.0,-0.0,-0.0,0.0,165.0,0
PCLP1 NUG,18,0.0,-0.0,-0.0,0.0,166.0,0
PCLP1 NUG,19,-0.0,0.0,-0.0,0.0,167.0,0
PCLP1 NUG,20,0.0,-0.0,-0.0,0.0,168.0,0
PCLP1 NUG,21,0.0,-0.0,-0.0,0.0,169.0,0
PCLP1 NUG,22,0.0,-0.0,-0.0,0.0,170.0,0
PCLP1 NUG,23,0.0,-0.0,-0.0,0.0,171.0,0
PCLP1 NUG,24,0.0,-0.0,-0.0,0.0,172.0,0
Gilberton NUG,1,1.0,0.0,0.0,49.0,0.0,49.20
Gilberton NUG,2,1.0,-0.0,-0.0,50.0,0.0,49.20
Gilberton NUG,3,1.0,-0.0,-0.0,51.0,0.0,49.20
Gilberton NUG,4,1.0,-0.0,-0.0,52.0,0.0,49.20
Gilberton NUG,5,1.0,-0.0,-0.0,53.0,0.0,49.20
Gilberton NUG,6,1.0,-0.0,-0.0,54.0,0.0,49.20
Gilberton NUG,7,1.0,-0.0,-0.0,55.0,0.0,49.20
Gilberton NUG,8,1.0,-0.0,-0.0,56.0,0.0,49.20
Gilberton NUG,9,1.0,-0.0,-0.0,57.0,0.0,49.20
Gilberton NUG,10,1.0,-0.0,-0.0,58.0,0.0,49.20
Gilberton NUG,11,1.0,-0.0,-0.0,59.0,0.0,49.20
Gilberton NUG,12,1.0,-0.0,-0.0,60.0,0.0,49.20
Gilberton NUG,13,1.0,-0.0,-0.0,61.0,0.0,49.20
Gilberton NUG,14,1.0,-0.0,-0.0,62.0,0.0,49.20
Gilberton NUG,15,1.0,-0.0,-0.0,63.0,0.0,49.20
Gilberton NUG,16,1.0,-0.0,-0.0,64.0,0.0,49.20
Gilberton NUG,17,1.0,-0.0,-0.0,65.0,0.0,49.20
Gilberton NUG,18,1.0,-0.0,-0.0,66.0,0.0,49.20
Gilberton NUG,19,1.0,-0.0,-0.0,67.0,0.0,32.80
Gilberton NUG,20,1.0,-0.0,-0.0,68.0,0.0,16.40
Gilberton NUG,21,1.0,-0.0,-0.0,69.0,0.0,0
Gilberton NUG,22,1.0,-0.0,-0.0,70.0,0.0,0
Gilberton NUG,23,1.0,-0.0,-0.0,71.0,0.0,16.40
Gilberton NUG,24,1.0,-0.0,-0.0,72.0,0.0,0
Harrisburg NUG,1,1.0,0.0,0.0,49.0,0.0,4.00
Harrisburg NUG,2,1.0,-0.0,-0.0,50.0,0.0,4.40
Harrisburg NUG,3,1.0,-0.0,-0.0,51.0,0.0,6.60
Harrisburg NUG,4,1.0,-0.0,-0.0,52.0,0.0,6.60
Harrisburg NUG,5,1.0,-0.0,-0.0,53.0,0.0,6.60
Harrisburg NUG,6,1.0,-0.0,-0.0,54.0,0.0,6.60
Harrisburg NUG,7,1.0,-0.0,-0.0,55.0,0.0,6.20
Harrisburg NUG,8,1.0,-0.0,-0.0,56.0,0.0,4.00
Harrisburg NUG,9,1.0,-0.0,-0.0,57.0,0.0,4.00
Harrisburg NUG,10,1.0,-0.0,-0.0,58.0,0.0,4.00
Harrisburg NUG,11,1.0,-0.0,-0.0,59.0,0.0,4.00
Harrisburg NUG,12,1.0,-0.0,-0.0,60.0,0.0,4.00
Harrisburg NUG,13,1.0,-0.0,-0.0,61.0,0.0,4.00
Harrisburg NUG,14,1.0,-0.0,-0.0,62.0,0.0,4.00
Harrisburg NUG,15,1.0,-0.0,-0.0,63.0,0.0,4.00
Harrisburg NUG,16,1.0,-0.0,-0.0,64.0,0.0,4.00
Harrisburg NUG,17,1.0,-0.0,-0.0,65.0,0.0,4.00
Harrisburg NUG,18,1.0,-0.0,-0.0,66.0,0.0,4.00
Harrisburg NUG,19,1.0,-0.0,-0.0,67.0,0.0,4.00
Harrisburg NUG,20,1.0,-0.0,-0.0,68.0,0.0,4.00
Harrisburg NUG,21,1.0,-0.0,-0.0,69.0,0.0,4.00
Harrisburg NUG,22,1.0,-0.0,-0.0,70.0,0.0,4.00
Harrisburg NUG,23,1.0,-0.0,-0.0,71.0,0.0,4.00
Harrisburg NUG,24,1.0,-0.0,-0.0,72.0,0.0,4.00
IUP NUG,1,0.0,0.0,0.0,0.0,149.0,0
IUP NUG,2,0.0,0.0,0.0,0.0,150.0,0
IUP NUG,3,0.0,0.0,0.0,0.0,151.0,0
IUP NUG,4,0.0,0.0,0.0,0.0,152.0,0
IUP NUG,5,0.0,0.0,0.0,0.0,153.0,0
IUP NUG,6,0.0,0.0,0.0,0.0,154.0,0
IUP NUG,7,0.0,0.0,0.0,0.0,155.0,0
IUP NUG,8,-0.0,-0.0,0.0,0.0,156.0,0
IUP NUG,9,0.0,0.0,-0.0,0.0,157.0,0
IUP NUG,10,1.0,1.0,-0.0,1.0,0.0,3.62
IUP NUG,11,1.0,0.0,-0.0,2.0,0.0,0
IUP NUG,12,1.0,-0.0,-0.0,3.0,0.0,0
IUP NUG,13,1.0,-0.0,-0.0,4.0,0.0,0
IUP NUG,14,1.0,-0.0,-0.0,5.0,0.0,0
IUP NUG,15,1.0,-0.0,-0.0,6.0,0.0,0
IUP NUG,16,1.0,-0.0,-0.0,7.0,0.0,0
IUP NUG,17,1.0,-0.0,-0.0,8.0,0.0,0
IUP NUG,18,1.0,-0.0,-0.0,9.0,0.0,0
IUP NUG,19,1.0,-0.0,-0.0,10.0,0.0,0
IUP NUG,20,1.0,-0.0,-0.0,11.0,0.0,0
IUP NUG,21,1.0,-0.0,-0.0,12.0,0.0,0
IUP NUG,22,1.0,-0.0,-0.0,13.0,0.0,0
IUP NUG,23,1.0,-0.0,-0.0,14.0,0.0,0
IUP NUG,24,1.0,-0.0,-0.0,15.0,0.0,0
Colver NUG,1,1.0,0.0,0.0,49.0,0.0,44.00
Colver NUG,2,1.0,-0.0,-0.0,50.0,0.0,66.00
Colver NUG,3,1.0,-0.0,-0.0,51.0,0.0,66.00
Colver NUG,4,1.0,-0.0,-0.0,52.0,0.0,66.00
Colver NUG,5,1.0,-0.0,-0.0,53.0,0.0,66.00
Colver NUG,6,1.0,-0.0,-0.0,54.0,0.0,46.00
Colver NUG,7,1.0,-0.0,-0.0,55.0,0.0,24.00
Colver NUG,8,1.0,-0.0,-0.0,56.0,0.0,2.00
Colver NUG,9,1.0,-0.0,-0.0,57.0,0.0,2.00
Colver NUG,10,1.0,-0.0,-0.0,58.0,0.0,2.00
Colver NUG,11,1.0,-0.0,-0.0,59.0,0.0,2.00
Colver NUG,12,1.0,-0.0,-0.0,60.0,0.0,2.00
Colver NUG,13,1.0,-0.0,-0.0,61.0,0.0,2.00
Colver NUG,14,1.0,-0.0,-0.0,62.0,0.0,2.00
Colver NUG,15,1.0,-0.0,-0.0,63.0,0.0,2.00
Colver NUG,16,1.0,-0.0,-0.0,64.0,0.0,2.00
Colver NUG,17,1.0,-0.0,-0.0,65.0,0.0,2.00
Colver NUG,18,1.0,-0.0,-0.0,66.0,0.0,2.00
Colver NUG,19,1.0,-0.0,-0.0,67.0,0.0,2.00
Colver NUG,20,1.0,-0.0,-0.0,68.0,0.0,2.00
Colver NUG,21,1.0,-0.0,-0.0,69.0,0.0,2.00
Colver NUG,22,1.0,-0.0,-0.0,70.0,0.0,2.00
Colver NUG,23,1.0,-0.0,-0.0,71.0,0.0,2.00
Colver NUG,24,1.0,-0.0,-0.0,72.0,0.0,2.00
Grant Town,1,1.0,0.0,0.0,49.0,0.0,48.00
Grant Town,2,1.0,-0.0,-0.0,50.0,0.0,48.00
Grant Town,3,1.0,-0.0,-0.0,51.0,0.0,48.00
Grant Town,4,1.0,-0.0,-0.0,52.0,0.0,48.00
Grant Town,5,1.0,-0.0,-0.0,53.0,0.0,48.00
