Gen_Index,Fuel_Cost	,Pmin,start_cost,Can_Spin,Min_Up,Min_Down
Berr Sprg 12,0.0,0.0,0.0,1,10,8
Berr Sprg 09,0.0,0.0,0.0,1,10,8
Berr Sprg 01,0.0,0.0,0.0,1,10,8
Berr Sprg 02,0.0,0.0,0.0,1,10,8
Berr Sprg 05,0.0,0.0,0.0,1,10,8
Berr Sprg 07,0.0,0.0,0.0,1,10,8
Berr Sprg 04,0.0,0.0,0.0,1,10,8
Berr Sprg 10,0.0,0.0,0.0,1,10,8
Berr Sprg 11,0.0,0.0,0.0,1,10,8
Berr Sprg 08,0.0,0.0,0.0,1,10,8
Berr Sprg 06,0.0,0.0,0.0,1,10,8
Berr Sprg 03,0.0,0.0,0.0,1,10,8
Buchanan 10,0.0,0.0,0.0,1,10,8
Buchanan 01,0.0,0.0,0.0,1,10,8
Buchanan 06,0.0,0.0,0.0,1,10,8
Buchanan 05,0.0,0.0,0.0,1,10,8
Buchanan 04,0.0,0.0,0.0,1,10,8
Buchanan 08,0.0,0.0,0.0,1,10,8
Buchanan 09,0.0,0.0,0.0,1,10,8
Buchanan 07,0.0,0.0,0.0,1,10,8
Buchanan 03,0.0,0.0,0.0,1,10,8
Buchanan 02,0.0,0.0,0.0,1,10,8
Constantine 2,0.0,0.0,0.0,1,10,8
Constantine 1,0.0,0.0,0.0,1,10,8
Constantine 4,0.0,0.0,0.0,1,10,8
Constantine 3,0.0,0.0,0.0,1,10,8
Mottville 1,0.0,0.0,0.0,1,10,8
Mottville 4,0.0,0.0,0.0,1,10,8
Mottville 2,0.0,0.0,0.0,1,10,8
Mottville 3,0.0,0.0,0.0,1,10,8
Clinton 1,5.22956383,0.9,532550.0,1,20,20
England Diesel 4,133.02623425,0.25,50.0,1,2,1
England Diesel 2,133.02623425,0.25,50.0,1,2,1
England Diesel 3,133.02623425,0.25,50.0,1,2,1
England 2,23.828079954,0.4,15500.0,1,6,6
England Diesel 1,133.02623425,0.25,50.0,1,2,1
England 1,21.70291473,0.4,12900.0,1,6,6
England 3,21.70291473,0.4,16000.0,1,6,6
Carll s Corner 1,82.065263487075,0.25,1075.0,1,2,1
Carll s Corner 2,82.065263487075,0.25,1075.0,1,2,1
Cedar Station 2,49.414422514545,0.25,650.0,1,2,1
Cedar Station 1,49.414422514545,0.25,1300.0,1,2,1
Middle Station 1,49.414422514545,0.25,575.0,1,2,1
Middle Station 3,49.414422514545,0.25,1100.0,1,2,1
Middle Station 2,49.414422514545,0.25,575.0,1,2,1
Missouri Ave C,49.414422514545,0.25,600.0,1,2,1
